Myanmar	Type	English
ကိုယ့္ရႉးကိုယ္ပတ္	come home to roost	idm
ဒေရတက္သည္	come in	phrv
ၿပိဳင္ပြဲတြင္ အဆင့္မွ ပန္းဝင္သည္	come in	phrv
အဆင့္ခ်ိတ္သည္	come in	phrv
ဖက္ရွင္ ျဖစ္လာသည္	come in	phrv
အသီးအႏံွေပၚသည္	come in	phrv
ေငြဝင္သည္	come in	phrv
ပါဝင္သည္	come in	phrv
သတင္းဝင္လာသည္	come in	phrv
ပါဝင္ ေဆြးေႏြးသည္	come in	phrv
ေျပာစရာျဖစ္သည္	come in for sth	phrv
ခံရသည္	come in for sth	phrv
ပါဝင္သည္	come in on sth	phrv
ပူးေပါင္းပါဝင္သည္	come in with sb	phrv
အေမြရသည္	come into sth	phrv
အေရးထားသည္	come into sth	phrv
ထည့္တြက္သည္	come into sth	phrv
မေလးမခန္႕လုပ္သည္	come it	idm
အရြယ္ေရာက္သည္	come of age	idm
ရင့္က်က္သည္	come of age	idm
ျဖစ္လာသည္	come of sth	phrv
လိမ့္က်သည္	come off	phrv
ျပဳတ္က်သည္	come off	phrv
ျပတ္က်န္သည္	come off	phrv
စြဲထင္က်န္သည္	come off	phrv
မဟုတ္တာမေျပာရန္ အမိန္႕ ေပး၊ ေစခိုင္းစကား	come off it	phrv
ပါးစပ္ပိတ္ထားစမ္း	come off it	phrv
ေတာ္ေတာ့	come off it	phrv
ေဈးက်သည္	come off sth	phrv
ေဈးေလွ်ာ့သည္	come off sth	phrv
ေဆးဝါးစသည္ သံုးစြဲမႈရပ္ပစ္သည္	come off sth	phrv
မင္းသား၊ မင္းသမီး စသည္ ထြက္ လာသည္	come off sth	phrv
ကစားစဉ္လူလဲသည္	come off sth	phrv
အေျခ အေနတိုးတက္လာသည္	come off sth	phrv
တိုက္တြန္းအားေပးစကား	come off sth	phrv
ကဲ ကဲ လုပ္ၾက လုပ္ၾက	come off sth	phrv
အစျပဳလာသည္	come off sth	phrv
စၿပီ	come off sth	phrv
လာၿပီ	come off sth	phrv
ရုပ္ရွင္၊ ျပဇာတ္ မၾကာမီ လာေတာ့မည္၊ ျပေတာ့မည္	come off sth	phrv
စကား စသည္ ေျပာသည္	come on to sth	phrv
သမီးပ်ိဳကို လူကံုထံအသိုင္းအဝိုင္းတြင္ အခမ္းအနားႏွင့္ ပြဲထုတ္သည္	come out	phrv
အေျဖထုတ္သည္	come out	phrv
ေျဖရွင္းသည္	come out	phrv
လိင္တူခ်င္း ႏွစ္သက္တတ္ေၾကာင္း ေျဗာင္ဖြင့္ေျပာသည္	come out	phrv
အဆင့္ခ်ိတ္သည္	come out	phrv
ကၽြတ္ထြက္သည္	come out	phrv
အညစ္ အေၾကးစသည္ ကၽြတ္သြားသည္	come out	phrv
ေငြကုန္က်သည္၊ က်သည္	come out at sth	phrv
အဖုအပိမ့္စသည္ ထြက္သည္	come out in sth	phrv
ေဖာ္ေရြပြင့္လင္းလာသည္	come out of oneself	phrv
အေျခခံသည္	come out of sth	phrv
ျမစ္ဖ်ားခံ သည္	come out of sth	phrv
အက်ိဳး ဆက္ျဖစ္ေပၚသည္	come out of sth	phrv
ပါးစပ္ကထြက္သည္	come out with sth	phrv
ေျပာ သည္	come out with sth	phrv
သေဘာထား၊ ဘက္ စသည္ ေျပာင္းသည္	come over	phrv
ခံစားမႈျဖစ္သည္၊ ျဖစ္ေပၚသည္	come over sb	phrv
ရုတ္တရက္ သတိလစ္သြားသည္၊ မူးေဝသြားသည္	come over sb	phrv
အေတြးအျမင္ စသည္ေျပာင္းလဲသည္	come round	phrv
သတင္းဝင္လာသည္	come through	phrv
ျပန္လည္က်န္းမာလာ သည္	come through	phrv
တံုးေက်ာ္သည္	come through	phrv
ေဘးရန္မွလြတ္ေျမာက္သည္	come through	phrv
ရထိုက္သည္ကိုေပး သည္	come through	phrv
ေစာင့္ေမွ်ာ္ေနသည့္အရာကိုရသည္	come through	phrv
သူ႕စရိတ္ႏွင့္ သူ သြားလိမ့္မယ္	come to a bad	idm
ပံုမွန္ျပန္ျဖစ္သည္	come to oneself	phrv
အေမြရသည္	come to sb	phrv
စုေပါင္းလိုက္ေသာ္မွ် ရိွ သည္	come to sb	phrv
$ အထူးသျဖင့္ တို႕ႏွင့္တြဲ၍ ကံပုဒ္အျဖစ္ သံုးသည္	come to sb	phrv
မေကာင္းေသာ အေျခအေနမ်ိဳး ျဖစ္သည္၊ ေရာက္သည္	come to sb	phrv
ဘာမွ်ျဖစ္မလာ	come to sb	phrv
အခ်ည္းႏီွး	come to sb	phrv
အလဟႆ	come to sb	phrv
ဒီလိုဆိုေတာ့လည္း	come to sb	phrv
စိတ္ကူးရသည္	come to sb (that)	phrv
အေတြး ေပါက္သည္	come to sb (that)	phrv
တကယ္ျဖစ္လာသည္	come true	idm
အဟုတ္ျဖစ္္လာသည္	come true	idm
အမ်ိဳးအစားတြင္ အက်ံဳး ဝင္သည္	come under sth	phrv
ေဝဖန္ခံရသည္	come under sth	phrv
ပစ္မွတ္ျဖစ္သည္	come under sth	phrv
စကားေျပာရန္အနားကပ္လာ သည္	come up	phrv
ရင္ဆိုင္ရသည္	come up	phrv
တကၠသိုလ္ တက္သည္၊ ေရာက္သည္	come up (to)	phrv
ၿမိဳ႕ငယ္၊ ရြာငယ္မွ ၿမိဳ႕ႀကီးျပႀကီးသို႕တက္သည္	come up (to)	phrv
လ်ာထားခံရသည္	come up for sth	phrv
အထိ ေရာက္လာသည္	come up to sth	phrv
လက္ခံႏိုင္သည့္ အဆင့္အတန္းေရာက္သည္	come up to sth	phrv
စိတ္ကူးစသည္ရသည္	come up with sth	phrv
ကတိတည္သည္	come up with/ deliver the goods	idm
အေျပာႏွင့္အေဟာညီသည္	come up with/ deliver the goods	idm
ဘာႀကီးပဲလာလာ	come what may	idm
ဘာႀကီးပဲ ျဖစ္ျဖစ္	come what may	idm
ၾွမႉဆြယ္ေသာ	come-hither	adj
ဆြေဆာင္မႈ	come-on	n
မေတာ္တဆ ျမင္သည္၊ ေတြ႕သည္	come-on	n
ေရွ႕မတိုးသာေအာင္ျဖစ္သည္	come/run up against a brick wall	idm
စဉ္းစားလို႕ရသည္	come/spring tmind	idm
တစ္ေက်ာ့ျပန္ေခတ္ထျခင္း	comeback	n
ပက္ခနဲျပန္ေျပာေသာစကား	comeback	n
လူရႊင္ေတာ္	comedian	n
ဟာသမင္းသား	comedian	n
ရယ္စရာအခန္းမွ ပါဝင္ကျပသူ	comedian	n
ဇာတ္ျမဴးမ်ား	comedies	n[pl]
သိကၡာက်ျခင္း	comedown	n
ဂုဏ္ငယ္ျခင္း	comedown	n
ဇာတ္ျမဴး	comedy	n
ယင္းဇာတ္မ်ိဳး	comedy	n
ရယ္စရာ	comedy	n
ဟာသ	comedy	n
လာေရာက္သူ	comer	n
ေအာင္ျမင္မည့္သူ	comer	n
ၾကယ္တံခြန္	comet	n
ၾကယ္တံခြန္မ်ား	comets	n[pl]
ကိုယ္စိတ္ခ်မ္းသာျခင္း	comfort	n
သက္ေသာင့္ သက္သာရိွျခင္း	comfort	n
ႏွစ္သိမ့္မႈ	comfort	n
ႏွစ္သိမ့္မႈ ေပးေသာ သူ၊ အရာ	comfort	n
ဇိမ္ခံစရာ	comfort	n
ႏွစ္သိမ့္သည္	comfort	v
သက္ေသာင့္သက္သာ ရိွေသာ	comfortable	adj
ဇိမ္ရိွေသာ	comfortable	adj
ဇိမ္က်ေနေသာ	comfortable	adj
ေနသာေသာ	comfortable	adj
စိတ္လက္ခ်မ္းသာေသာ	comfortable	adj
သာယာေျဖာင့္ျဖဴးေသာ	comfortable	adj
အေနက်ေသာ	comfortable	adj
ပစၥည္းဥစၥာျပည့္စံုေသာ	comfortable	adj
ကံုလံုေသာ	comfortable	adj
ပိုပိုသာသာျဖစ္ေသာ	comfortable	adj
သက္ေသာင့္သက္သာျဖစ္ ေအာင္	comfortably	adv
ဇိမ္ရိွေအာင္	comfortably	adv
စိတ္လက္ခ်မ္းသာေအာင္	comfortably	adv
အျပတ္အသတ္	comfortably	adv
လြတ္လြတ္ကၽြတ္ကၽြတ္	comfortably	adv
ျပည့္စံုကံုလံုသည္	comfortably off	idm
ဇိမ္က်က် ေနႏိုင္သည္	comfortably off	idm
ႏွစ္သိမ့္ခဲ့	comforted	v[pt]
ႏွစ္သိမ့္ခဲ့ၿပီး	comforted	v[pp]
ႏွစ္သိမ့္ေစတတ္သူ	comforter	n
ႏွစ္သိမ့္မႈေပး သည့္အရာ	comforter	n
ဂြမ္းကပ္	comforter	n
ခ်မ္းေျမ့ေစေသာ	comforting	adj
ႏွစ္သိမ့္မႈေပးေသာ	comforting	adj
ႏွစ္သိမ့္ေန	comforting	v[ing]
ဇိမ္မရိွေသာ	comfortless	adj
ကသိကေအာက္ျဖစ္ေသာ	comfortless	adj
သက္ေသာင့္သက္သာရိွျခင္းမ်ား	comforts	n[pl]
ဇိမ္ရိွေသာ	comfy	adj
ရႊင္ျမဴးဖြယ္ျဖစ္ေသာ	comic	adj
ဟာသ	comic	adj
ဇာတ္ျမဴး	comic	adj
လူရႊင္ေတာ္	comic	n
ကာတြန္းစာေစာင္	comic	n
လူရႊင္ေတာ္	comic	n[sing]
ပင္တိုင္ရုပ္ျပ ဇာတ္ လမ္းတို	comic strip	n
လူရႊင္ေတာ္မ်ား	comics	n[pl]
ေရာက္ျခင္း	coming	n
လာမည့္	coming	adj
ေနာက္လာမည့္	coming	adj
လာေန	coming	v[ing]
အဝင္အထြက္	comings and goings	idm
အသြားအလာ	comings and goings	idm
ပုဒ္ရပ္သေကၤတ	comma	n
အမိန္႕ေပးသည္	command	v
ဩဇာအာဏာရိွသည္	command	v
ကြပ္ကဲ အုပ္ခ်ဳပ္သည္	command	v
ခံယူထိုက္သည္	command	v
ေနရာ၊ ခံတပ္ စသည္ အထက္စီး၌တည္ေနသည္	command	v
ရသည္	command	v
ပိုင္သည္	command	v
အမိန္႕	command	n
ကြန္ပ်ဴတာကို ညႊန္ၾကားျခင္း	command	n
ကြပ္ကဲမႈ	command	n
စစ္တိုင္း	command	n
ေရ တပ္၊ ေလတပ္စခန္း ဌာနခ်ဳပ္	command	n
စြမ္းရိွသည္	command	n
ႏိုင္ငံအႀကီးအကဲ၏ ဆႏၵအရ တင္ဆက္ကျပေသာ ပြဲသဘင္	command performance	n
အႀကီးအကဲကိုယ္တိုင္ ႂကြေရာက္ ခ်ီးျမွင့္သည္	command performance	n
တပ္စခန္းတစ္ခု၊ တပ္ဖြဲ႕တစ္ဖြဲ႕ကို အုပ္ခ်ဳပ္သူအရာရိွ	commandant	n
တပ္မႉးခ်ဳပ္	commandant	n
စစ္တကၠသိုလ္ စသည္၏ ေက်ာင္းအုပ္ႀကီး	commandant	n
အမိန္႕ေပးခဲ့	commanded	v[pt]
အမိန္႕ေပးခဲ့ၿပီး	commanded	v[pp]
စစ္ေရးအတြက္ သိမ္းယူသည္	commandeer	v
ေခ်ာဆြဲသည္	commandeer	v
အုပ္ခ်ဳပ္သူအရာရိွ	commander	n
တပ္မႉး	commander	n
ေရတပ္မေတာ္ ဒုတိယဗိုလ္မႉးႀကီး	commander	n
ၿဗိတိန္တြင္ လန္ဒန္ ရဲအရာရိွႀကီး	commander	n
စစ္ေသနာပတိ	commander-in-chief	n
အမိန္႕ေပးႏိုင္ေသာ	commanding	adj
အထက္စီး၌တည္ေနေသာ	commanding	adj
အသာစီးရ ေနေသာ	commanding	adj
ဩဇာရိွေသာ	commanding	adj
ခံ႕ညားေသာ	commanding	adj
အမိန္႕ေပးေန	commanding	v[ing]
ကြန္မန္ဒိုတပ္ဖြဲ႕	commando	n
ယင္းတပ္ဖြဲ႕ဝင္	commando	n
အမိန္႕မ်ား	commands	n[pl]
ေကာ္မာမ်ား	commas	n[pl]
အထိမ္းအမွတ္အျဖစ္ အမွတ္တရက်င္းပသည္	commemorate	v
အထိမ္းအမွတ္ ေက်ာက္ရုပ္၊ ေက်ာက္တိုင္ စသည္ အမွတ္တရျဖစ္ေစသည္	commemorate	v
အထိမ္း အမွတ္ပြဲ	commemoration	n
အထိမ္းအမွတ္အျဖစ္ ဂုဏ္ျပဳေသာ	commemorative	adj
စတင္သည္	commence	v
စသည္	commence	v
အစျပဳျခင္း	commence	v
စတင္ျခင္း	commence	v
ဘြဲ႕ႏွင္းသဘင္	commence	v
ခ်ီးက်ဴးသည္	commend	v
သူဘယ္ေလာက္နာမည္ ႀကီးႀကီး ငါကေတာ့မခ်ီးက်ဴးဘူး	commend	v
လက္ခံႏိုင္သည္	commend	v
ႏွစ္သက္သည္	commend	v
ေစာင့္ေရွာက္ရန္အပ္ႏံွသည္	commend	v
ခ်ီးက်ဴးထိုက္ေသာ	commendable	adj
ခ်ီးက်ဴးျခင္း	commendation	n
ဂုဏ္ျပဳခ်ီးျမွင့္သည့္ ဆု	commendation	n
အခ်ိဳး ညေသာ	commensurate	adj
မွ်ေသာ	commensurate	adj
ထင္ျမင္ခ်က္	comment	n
သံုးသပ္ ခ်က္	comment	n
ထင္ျမင္ခ်က္ေပးသည္	comment	v
မွတ္ခ်က္ခ်သည္	comment	v
ေဝဖန္ သည္	comment	v
တိုက္ရိုက္ထုတ္လႊင့္အစီရင္ခံခ်က္	commentary	n
ရွင္းလင္းခ်က္မွတ္စု	commentary	n
ရုပ္ျမင္သံၾကား သို႕ ေရဒီယိုမွ တိုက္ရိုက္ထုတ္လႊင့္ အစီရင္ခံသည္	commentate	v
ယင္းသို႕ထုတ္လႊင့္အစီရင္ခံသူ	commentator	n
မ်က္ေမွာက္ေရးရာမ်ားကို ေဟာေျပာေရးသားသူ	commentator	n
ထင္ျမင္ခ်က္ေပးခဲ့	commented	v[pt]
ထင္ျမင္ခ်က္ေပးခဲ့ၿပီး	commented	v[pp]
ထင္ျမင္ခ်က္ေပးေန	commenting	v[ing]
ထင္ျမင္ခ်က္မ်ား	comments	n[pl]
ကုန္သြယ္မႈ	commerce	n
ကုန္သြယ္မႈႏွင့္ဆိုင္ေသာ	commercial	adj
စီးပြားျဖစ္	commercial	adj
စီးပြားေရးဆန္ေသာ	commercial	adj
အျမတ္အစြန္းကိုသာၾကည့္ ေသာ	commercial	adj
ေရဒီယို၊ ရုပ္ျမင္သံၾကားေၾကာ္ျငာ	commercial	adj
ေရဒီယို၊ ရုပ္ျမင္သံၾကားစီးပြားေရးေၾကာ္ျငာ	commercial	n
ေၾကာ္ျငာပန္းခ်ီ	commercial art	n
ေၾကာ္ျငာၾကားျဖတ္ဝင္ခ်ိန္	commercial break	n
ကုန္ပို႕ယာဉ္	commercial vehicle	n
ကုန္တင္ယာဉ္	commercial vehicle	n
စီးပြားေရးအျမတ္ထုတ္ဝါဒ	commercialism	n
စီးပြားေရးဆန္ဆန္လုပ္သည္	commercialize -ise	v
စီးပြားေရးအရ	commercially	adv
စီးပြားေရး ဆန္ဆန္	commercially	adv
စီးပြားျဖစ္	commercially	adv
နယ္လွည့္ အေရာင္းကိုယ္စားလွယ္	commercially	adv
စာနာစကားေျပာသည္	commiserate	v
ႏွစ္သိမ့္စကားေျပာသည္	commiserate	v
ရိကၡာ	commissariat	n
ရိကၡာမ်ား	commissariats	n[pl]
ေထာက္ပံ႕ေရးအရာရိွမ်ား	commissaries	n[pl]
ေထာက္ပံ႕ေရးအရာရိွ	commissary	n
ေစခိုင္းသည့္ လုပ္ငန္း၊ တာဝန္	commission	n
ဝန္ေဆာင္ခ	commission	n
ပြဲခ	commission	n
ေကာ္မရွင္	commission	n
ေကာ္မရွင္အဖြဲ႕	commission	n
စံုစမ္းေရးေကာ္မရွင္	commission	n
အမွား၊ အျပစ္က်ဴးလြန္ျခင္း	commission	n
စစ္တပ္ျပန္တမ္းဝင္အရာရိွရာထူး	commission	n
လုပ္ငန္းအပ္ႏံွသည္	commission	v
တာဝန္ေပးသည္	commission	v
လုပ္ခိုင္းသည္	commission	v
အလုပ္ အပ္သည္	commission	v
ျပန္တမ္းဝင္အရာရိွအျဖစ္ ခန္႕အပ္သည္	commission	v
စစ္တပ္ ျပန္တမ္းဝင္အရာရိွ	commission	v
အသံုးျပဳႏိုင္မျပဳႏိုင္ျခင္း	commission	v
လုပ္ငန္းအပ္ႏံွခဲ့	commissioned	v[pt]
လုပ္ငန္းအပ္ႏံွခဲ့ၿပီး	commissioned	v[pp]
လုပ္ငန္းအပ္ႏံွေန	commissioning	v[ing]
ေကာ္မရွင္မ်ား	commissions	n[pl]
က်ဴးလြန္	commit	v
ကတေပးၿပီးေသာ အလုပ္	commitment	n
ကတေပးၿပီးေသာ အလုပ္မ်ား	commitments	n[pl]
က်ဴးလြန္ခဲ့	committed	v[pt]
က်ဴးလြန္ခဲ့ၿပီး	committed	v[pp]
ေကာ္မတီ	committee	n
ေကာ္မတီမ်ား	committees	n[pl]
က်ဴးလြန္ေန	committing	v[ing]
လူသံုးကုန္	commodities	n[pl]
လူသံုးကုန္	commodity	n
ေရတပ္ဗိုလ္မူးခ်ဳပ္	commodore	n
ေရတပ္ဗိုလ္မူးခ်ဳပ္မ်ား	commodores	n[pl]
အမ်ားႏွင့္ဆိုင္	common	adj
ကြင္းျပင္	common	n[sing]
ပို၍အမ်ားႏွင့္ဆိုင္	commoner	adj[com]
အမ်ားႏွင့္အဆိုင္	commonest	adj[sup]
အမ်ားအားျဖင့္	commonly	adv
ကြင္းျပင္မ်ား	commons	n[pl]
အမ်ားႏွင့္ဆိုင္ ေသာ	communal	adj
အမ်ားသံုး	communal	adj
အမ်ားပိုင္	communal	adj
ဘံု	communal	adj
အမ်ိဳးဘာသာတူ လူစု၊ အသိုင္းအဝိုင္းႏွင့္ ဆိုင္ေသာ	communal	adj
အုပ္စုလိုက္ ျဖစ္ေသာ	communal	adj
ရင္းရင္းႏီွးႏီွးျဖစ္သည္	commune with sb/sth	phrv
လက္ပြန္းတတီးျဖစ္သည္	commune with sb/sth	phrv
မိသားစုအမ်ား စုေပါင္းေနထိုင္၍ တာဝန္ႏွင့္ရပိုင္ခြင့္ အညီအမွ်ရိွေသာ လူ႕အဖြဲ႕အစည္း	commune with sb/sth	phrv
ဘံုအဖြဲ႕	commune with sb/sth	phrv
ျပင္သစ္ႏွင့္ အခ်ိဳ႕ႏိုင္ငံတြင္ ေဒသန ၱရ အုပ္ခ်ဳပ္ေရးယန ၱရားတြင္ အေသးငယ္ဆံုးအဆင့္	commune with sb/sth	phrv
ခရစ္ေတာ္၏ ေနာက္ဆံုးညစာ အထိမ္းအမွတ္ပြေတာ္တြင္ ပါဝင္ခြင့္ရသူ	communicant	n
သေစသည္	communicate	v
ေျပာျပသည္	communicate	v
ကူးစက္ေစသည္	communicate	v
ပ်ံ႕ႏံွ႕သည္	communicate	v
ဆက္ဆံသည္	communicate	v
ဆက္သြယ္သည္	communicate	v
ေရလည္ရွင္းလင္းသြားေအာင္ ေျပာသည္	communicate	v
အေပး အယူမွ်တသည္	communicate	v
ဆက္ဆံမႈေျပျပစ္သည္	communicate	v
တစ္ဆက္တည္းျဖစ္သည္	communicate	v
သေစခဲ့	communicated	v[pt]
သေစခဲ့ၿပီး	communicated	v[pp]
သေန	communicating	v[ing]
ကူးစက္ျခင္း	communication	n
ဆက္သြယ္ျခင္း	communication	n
ဆက္ဆံေျပာဆိုျခင္း	communication	n
သတင္းေပးပို႕ခ်က္	communication	n
အေၾကာင္းၾကားခ်က္	communication	n
ဆက္သြယ္ေရးလမ္းေၾကာင္း	communication	n
ဆက္သြယ္ေရး	communication	n
ရထား အေရးေပၚသံႀကိဳး	communication cord	n
ဆက္သြယ္ေရးမ်ား	communications	n[pl]
စကား မ်ားေသာ	communicative	adj
ေလေပါေသာ	communicative	adj
အေျပာအေဟာေကာင္းသူ	communicator	n
နႈတ္ေရးေကာင္းသူ	communicator	n
ခရစ္ေတာ္၏ေနာက္ဆံုးညစာအထိမ္းအမွတ္ ပြဲအျဖစ္ ေပါင္မုန္႕ႏွင့္စပ်စ္ရည္ သံုးေဆာင္ေသာ ဘာသာေရး အခမ္းအနား	communion	n
ဘာသာ အယူ တူညီသူ လူစု	communion	n
အတူခံစားျခင္း	communion	n
တရားဝင္ သတင္းထုတ္ျပန္ခ်က္၊ ေၾကညာခ်က္	communiqué	n
é	communiqué	n
ကြန္ျမဴနစ္ဝါဒ	communism	n
ကြန္ျမဴနစ္ စနစ္	communism	n
ကြန္ျမဴနစ္စနစ္ ထူေထာင္ေရး ဆိုင္ရာ လႈပ္ရွားမႈ	communism	n
ကြန္ျမဴနစ္ပါတီ အုပ္ခ်ဳပ္ေရးစနစ္	communism	n
ကြန္ျမဴနစ္ဝါဒီ	communist	n
ကြန္ျမဴနစ္	communist	n
ကြန္ျမဴနစ္ပါတီဝင္	communist	n
ကြန္ျမဴနစ္လႈပ္ရွားမႈတြင္ ပါဝင္သူ	communist	n
ကြန္ျမဴနစ္ပါတီ	communist	n
ကြန္ျမဴနစ္ႏိုင္ငံတြင္ တိုင္းျပည္အုပ္ခ်ဳပ္ေသာ တစ္ခုတည္းေသာ တရားဝင္ပါတီ	communist	n
သီးသန္႕လူစုမ်ား	communities	n[pl]
တစ္ ေနရာတြင္အသီးအသန္႕ေနထိုင္ေသာ လူစု	community	n
ရပ္ကြက္	community	n
အစု	community	n
အမ်ိဳး၊ ဘာသာ၊ သက္ေမြးဝမ္းေက်ာင္း စသည္ခ်င္း တူညေသာ လူအစု	community	n
အုပ္စု	community	n
အုပ္စု အက်ိဳးစီးပြား	community	n
အုပ္စုစိတ္ဓာတ္	community	n
တစ္ေနရာတည္းတြင္ ေတြ႕ရေသာ တိရစာၦန္စု၊ အပင္စု	community	n
ရပ္ကြက္အသင္းတိုက္	community centre	n
ယင္းသို႕ေျပာင္းလဲႏိုင္ေသာ	commutable	adj
ျပစ္ဒဏ္ေျပာင္းလေလွ်ာ့ေပါ့ျခင္း	commutation	n
ေပးရန္ရိွသည္ကို အျခားတစ္နည္းျဖင့္ ေျပာင္းလဲ ေပးျခင္း	commutation	n
ယင္းသို႕ေပးေသာေငြ စသည္	commutation	n
အိမ္ႏွင့္အလုပ္ခြင္ ခရီးေဝး၍ ကား၊ ရထားျဖင့္ ပံုမွန္ အသြားအျပန္လုပ္သည္	commute	v
ျပစ္ဒဏ္ေလွ်ာ့ ေပါ့သည္	commute	v
အထူးသျဖင့္ လစဉ္၊ ႏွစ္စဉ္ ခံစား ခြင့္ေငြကို တစ္လံုးတစ္ခဲတည္းအျဖစ္ ေျပာင္းလဲယူသည္	commute	v
ပင္စင္လစာေရာင္းသည္	commute	v
အျပစ္ဒဏ္ေလ်ာ့ေပါ့ခဲ့	commuted	v[pt]
အျပစ္ဒဏ္ေလ်ာ့ေပါ့ခဲ့ၿပီး	commuted	v[pp]
ပံုမွန္ခရီးေဝးအလုပ္ဆင္းသူ	commuter	n
အျပစ္ဒဏ္ေလ်ာ့ေပါ့ေန	commuting	v[ing]
သိပ္သည္းေသာ	compact	adj
က်စ္လ်စ္သပ္ရပ္ေသာ	compact	adj
သိပ္သည္	compact	v
က်စ္္သည္	compact	v
မိတ္္ကပ္ဘူးျပား	compact	v
ကားကေလး	compact	v
တရားဝင္သေဘာတူညီခ်က္	compact	n
ေလဆာဓာတ္ျပား	compact disc	n
စီဒီ	compact disc	n
ေလဆာဓာတ္ျပား	compact disk	n
ကုမၸဏီမ်ား	companies	n[pl]
အေဖာ္	companion	n
အေဖာ္အေလွာ္	companion	n
ေသြးေသာက္	companion	n
ေရာင္းရင္း	companion	n
ရေဘာ္ရဲဘက္	companion	n
အေဖာ္အဖက္	companion	n
သူအို၊ သူနာေစာင့္	companion	n
အတြဲအဖက္	companion	n
လက္စြဲစာအုပ္	companion	n
သေဘၤာအိပ္ခန္း ေလွကား	companion-way	n
ေပါင္း၍သင္း၍ေကာင္းေသာ	companionable	adj
ခင္မင္ ေဖာ္ေရြေသာ	companionable	adj
အေဖာ္မ်ား	companions	n[pl]
အေပါင္းအသင္းအျဖစ္	companionship	n
မိတ္ေဆြ အျဖစ္	companionship	n
ကုမၸဏီ	company	n
အေဖာ္	company	n
အေဖာ္ျပဳျခင္း	company	n
ဧည့္ပရိသတ္	company	n
လူအမ်ား	company	n
လုပ္ေဖာ္ကိုင္ဖက္တစ္သိုက္	company	n
ေျခလ်င္တပ္ရင္းတပ္ခြဲ	company	n
တြေဖာ္တြဲဖက္	company	n
အေပါင္း အသင္း	company	n
လူေပါင္းမွားသည္	company	n
နိႈင္းယွဉ္ ႏိုင္ေသာ	comparable	adj
နိႈင္းယွဉ္ေလ့လာေသာ	comparative	adj
သိသိသာသာ ျဖစ္ေသာ	comparative	adj
ကဲ့သို႕ေသာ သာလြန္အဆင့္ျပနာမ ဝေသသန၊ ႀကိယာဝေသသန	comparative	adj
၉ ၂	comparative	adj
သာလြန္အဆင့္ျပ နာမဝေသသန၊ ႀကိယာဝေသ သန	comparative	n
နိႈင္းယွဉ္လွ်င္	comparatively	adv
ယွဉ္ၾကည့္လွ်င္	comparatively	adv
စာလွ်င္	comparatively	adv
ႀကိယာဝေသသန	comparatives	n[pl]
နိႈင္း ယွဉ္သည္	compare	v
နိႈင္းယွဉ္ၾကည့္သည္	compare	v
ခိုင္းနိႈင္းသည္	compare	v
နိႈင္းသည္	compare	v
နိႈင္းယွဉ္ႏိုင္သည္	compare	v
ယွဉ္ႏိုင္ေျခရိွသည္	compare	v
ကၽြေကာ္	Compare CONCRETE	n
သြားေပါက္ ဖာေသာေကာ္	Compare CONCRETE	n
အျမင္ဖလွယ္သည္	compare notes	idm
ႏိုင္းယွဉ္ခဲ့	compared	v[pt]
ႏိုင္းယွဉ္ခဲ့ၿပီး	compared	v[pp]
ႏိုင္းယွဉ္ေန	comparing	v[ing]
နိႈင္းယွဉ္ျခင္း	comparison	n
နိႈင္းယွဉ္ျပ ျခင္း	comparison	n
နိႈင္းယွဉ္ခ်က္	comparison	n
ၿပိဳင္ႏိုင္ သည္	comparison	n
ယွဉ္ႏိုင္သည္	comparison	n
ႏိုင္းယွဉ္ျခင္းမ်ား	comparisons	n[pl]
မီးရထားတြဲ အခန္း	compartment	n
အကန္႕	compartment	n
ပိုင္းကန္႕ခြဲျခားသည္	compartmentalize -ise	v
သံလိုက္အိမ္ေျမွာင္	compass	n
အိမ္ေျမွာင္	compass	n
ကြန္ပါ	compass	n
စက္ဝိုင္းဆြဲရန္၊ တိုင္းရန္ကြန္ပါ	compass	n
အဝန္းအဝိုင္းနယ္ပယ္	compass	n
အသနား	compassion	n
ကရုဏာ	compassion	n
အၾကင္နာေတၱာ	compassion	n
စာနာရိုင္းပင္းတတ္မႈ	compassion	n
ေမတၱာကရုဏာ တရား ႀကီးမားေသာ	compassionate	adj
အၾကင္နာပိုေသာ	compassionate	adj
သာေရးနာေရးခြင့္	compassionate leave	n
ကိုယ္ေရးကိုယ္တာခြင့္	compassionate leave	n
လိုက္ဖက္ေသာ	compatibility	n
အံဝင္ခြင္က် ေသာ	compatibility	n
လိုက္ဖက္ ေသာ	compatible	adj
သဟဇာတျဖစ္ေသာ	compatible	adj
တြဲ ဖက္သံုးႏိုင္ေသာ	compatible	adj
အံဝင္ခြင္က်ေသာ	compatible	adj
တစ္ျပည္တည္းသား	compatriot	n
တစ္နယ္တည္းသား	compatriot	n
အတင္းအက်ပ္ခိုင္းသည္	compel	v
မျဖစ္မေနလုပ္ေစသည္	compel	v
အက်ပ္ကိုင္သည္	compel	v
မရအရယူသည္	compel	v
အေျခအေနကေတာင္းဆိုသည္	compel	v
လံႈ႕ေဆာ္သည္	compel	v
ဖမ္းစားသည္	compel	v
အလြန္စိတ္ဝင္စားဖြယ္ေကာင္းေသာ	compel	v
ဆြဲ ေဆာင္ေသာ	compel	v
လက္ခံရမည္ျဖစ္ေသာ	compel	v
